,Player,Tm,Att,Yds,TD,Lng,Y/A,Opponent,Year
0,Baker Mayfield,CLE,5,3,0,6.0,0.6,PIT,2020
1,Nick Chubb,CLE,18,76,0,20.0,4.2,PIT,2020
2,Kareem Hunt,CLE,8,48,2,13.0,6.0,PIT,2020
0,Baker Mayfield,CLE,3,11,0,6.0,3.7,KAN,2020
1,Nick Chubb,CLE,13,69,0,23.0,5.3,KAN,2020
2,Kareem Hunt,CLE,6,32,1,10.0,5.3,KAN,2020
0,Baker Mayfield,CLE,1,7,0,7.0,7.0,KAN,2021
1,Nick Chubb,CLE,15,83,2,18.0,5.5,KAN,2021
2,Kareem Hunt,CLE,6,33,1,15.0,5.5,KAN,2021
3,Anthony Schwartz,CLE,1,17,0,17.0,17.0,KAN,2021
4,Jarvis Landry,CLE,2,13,1,8.0,6.5,KAN,2021
0,Baker Mayfield,CLE,8,10,1,5.0,1.2,HOU,2021
1,Nick Chubb,CLE,11,95,1,26.0,8.6,HOU,2021
2,Kareem Hunt,CLE,13,51,0,13.0,3.9,HOU,2021
0,Baker Mayfield,CLE,4,31,0,12.0,7.8,CHI,2021
1,Nick Chubb,CLE,22,84,0,14.0,3.8,CHI,2021
2,Kareem Hunt,CLE,10,81,1,29.0,8.1,CHI,2021
3,Odell Beckham Jr.,CLE,1,10,0,10.0,10.0,CHI,2021
4,D'Ernest Johnson,CLE,2,9,0,5.0,4.5,CHI,2021
0,Baker Mayfield,CLE,2,11,0,6.0,5.5,MIN,2021
1,Nick Chubb,CLE,21,100,0,13.0,4.8,MIN,2021
2,Kareem Hunt,CLE,14,69,1,33.0,4.9,MIN,2021
3,Odell Beckham Jr.,CLE,1,4,0,4.0,4.0,MIN,2021
0,Baker Mayfield,CLE,2,8,0,7.0,4.0,LAC,2021
1,Nick Chubb,CLE,21,161,1,52.0,7.7,LAC,2021
2,Kareem Hunt,CLE,12,61,2,12.0,5.1,LAC,2021
0,Baker Mayfield,CLE,3,8,0,4.0,2.7,ARI,2021
2,Kareem Hunt,CLE,14,66,0,17.0,4.7,ARI,2021
3,D'Ernest Johnson,CLE,1,2,0,2.0,2.0,ARI,2021
0,Baker Mayfield,CLE,1,5,0,5.0,5.0,PIT,2021
1,Nick Chubb,CLE,16,61,0,21.0,3.8,PIT,2021
2,D'Ernest Johnson,CLE,4,22,1,11.0,5.5,PIT,2021
3,Jarvis Landry,CLE,1,5,0,5.0,5.0,PIT,2021
4,Demetric Felton,CLE,1,3,0,3.0,3.0,PIT,2021
1,Nick Chubb,CLE,14,137,2,70.0,9.8,CIN,2021
2,D'Ernest Johnson,CLE,8,16,0,7.0,2.0,CIN,2021
2,D'Ernest Johnson,CLE,19,99,0,24.0,5.2,NWE,2021
0,Baker Mayfield,CLE,4,9,0,7.0,2.2,DET,2021
1,Nick Chubb,CLE,22,130,0,15.0,5.9,DET,2021
2,D'Ernest Johnson,CLE,5,26,0,13.0,5.2,DET,2021
3,Jarvis Landry,CLE,1,16,1,16.0,16.0,DET,2021
4,Demetric Felton,CLE,3,2,0,1.0,0.7,DET,2021
5,David Njoku,CLE,1,1,0,1.0,1.0,DET,2021
0,Baker Mayfield,CLE,2,4,0,3.0,2.0,BAL,2021
2,Kareem Hunt,CLE,7,20,0,9.0,2.9,BAL,2021
3,Nick Chubb,CLE,8,16,0,5.0,2.0,BAL,2021
0,Baker Mayfield,CLE,6,14,0,6.0,2.3,BAL,2021
1,Nick Chubb,CLE,17,59,0,15.0,3.5,BAL,2021
2,D'Ernest Johnson,CLE,4,22,0,13.0,5.5,BAL,2021
3,Kareem Hunt,CLE,2,5,0,3.0,2.5,BAL,2021
0,Baker Mayfield,CLE,2,11,0,12.0,5.5,GNB,2021
1,Nick Chubb,CLE,17,126,1,27.0,7.4,GNB,2021
2,D'Ernest Johnson,CLE,4,58,0,30.0,14.5,GNB,2021
3,Anthony Schwartz,CLE,2,24,0,13.0,12.0,GNB,2021
0,Baker Mayfield,CLE,2,16,0,14.0,8.0,PIT,2021
1,Nick Chubb,CLE,12,58,0,32.0,4.8,PIT,2021
2,D'Ernest Johnson,CLE,5,13,0,4.0,2.6,PIT,2021
3,Jarvis Landry,CLE,1,6,0,6.0,6.0,PIT,2021
0,Baker Mayfield,CAR,5,6,1,7.0,1.2,CAR,2022
1,Christian McCaffrey,CAR,10,33,1,9.0,3.3,CAR,2022
2,D.J. Moore,CAR,1,7,0,7.0,7.0,CAR,2022
3,D'Onta Foreman,CAR,2,5,0,4.0,2.5,CAR,2022
4,Chuba Hubbard,CAR,1,3,0,3.0,3.0,CAR,2022
0,Baker Mayfield,CAR,6,35,0,17.0,5.8,CAR,2022
1,Christian McCaffrey,CAR,15,102,0,49.0,6.8,CAR,2022
2,D'Onta Foreman,CAR,2,9,0,7.0,4.5,CAR,2022
1,Christian McCaffrey,CAR,25,108,0,18.0,4.3,NOR,2022
2,Chuba Hubbard,CAR,3,25,0,14.0,8.3,NOR,2022
3,D.J. Moore,CAR,2,13,0,9.0,6.5,NOR,2022
1,Christian McCaffrey,CAR,8,27,0,10.0,3.4,ARI,2022
2,D.J. Moore,CAR,1,11,0,11.0,11.0,ARI,2022
3,D'Onta Foreman,CAR,1,2,0,2.0,2.0,ARI,2022
2,Christian McCaffrey,CAR,14,54,1,19.0,3.9,SFO,2022
3,D.J. Moore,CAR,1,8,0,8.0,8.0,SFO,2022
4,D'Onta Foreman,CAR,2,2,0,5.0,1.0,SFO,2022
0,Baker Mayfield,LAR,1,1,0,1.0,1.0,LAR,2022
1,Cam Akers,LAR,12,65,0,19.0,5.4,LAR,2022
2,Kyren Williams,LAR,2,7,0,5.0,3.5,LAR,2022
